Number of processors:	8
Transmitters per processor:	128
Processes per node:	4
TIME:1350601066.44708896:	Transmitter data send (0)	0.00000400 sec
TIME:1350601066.65881205:	Calculation and result dump (2)	8.23348900 sec
TIME:1350601066.65882397:	Transmitter data send (2)	0.00000400 sec
TIME:1350601066.72106695:	Calculation and result dump (5)	8.22656300 sec
TIME:1350601066.72107911:	Transmitter data send (5)	0.00000400 sec
TIME:1350601066.72329092:	Calculation and result dump (3)	8.22428100 sec
TIME:1350601066.72330308:	Transmitter data send (3)	0.00000400 sec
TIME:1350601066.93583798:	Calculation and result dump (7)	8.21831900 sec
TIME:1350601066.93585110:	Transmitter data send (7)	0.00000400 sec
TIME:1350601067.73128200:	Calculation and result dump (6)	8.25013800 sec
TIME:1350601067.73129511:	Transmitter data send (6)	0.00000400 sec
TIME:1350601072.75148892:	Calculation and result dump (4)	7.78951500 sec
TIME:1350601072.75150394:	Transmitter data send (4)	0.00000500 sec
TIME:1350601074.62698388:	Calculation and result dump (1)	8.22739600 sec
TIME:1350601074.62699795:	Transmitter data send (1)	0.00000500 sec
TIME:1350601074.71074104:	Calculation and result dump (0)	8.26364800 sec
TIME:1350601074.71075392:	Transmitter data send (0)	0.00000400 sec
TIME:1350601074.90720391:	Calculation and result dump (2)	8.24837600 sec
TIME:1350601074.90721798:	Transmitter data send (2)	0.00000500 sec
TIME:1350601074.94575810:	Calculation and result dump (5)	8.22467400 sec
TIME:1350601074.94577098:	Transmitter data send (5)	0.00000400 sec
TIME:1350601074.95807409:	Calculation and result dump (3)	8.23476700 sec
TIME:1350601074.95808697:	Transmitter data send (3)	0.00000500 sec
TIME:1350601075.15793395:	Calculation and result dump (7)	8.22207900 sec
TIME:1350601075.15794802:	Transmitter data send (7)	0.00000500 sec
TIME:1350601075.98769093:	Calculation and result dump (6)	8.25639200 sec
TIME:1350601075.98770499:	Transmitter data send (6)	0.00000500 sec
TIME:1350601080.90583301:	Calculation and result dump (4)	8.15432500 sec
TIME:1350601080.90584898:	Transmitter data send (4)	0.00000400 sec
TIME:1350601082.58076596:	Calculation and result dump (0)	7.87000800 sec
TIME:1350601082.58078003:	Transmitter data send (0)	0.00000400 sec
TIME:1350601082.85199189:	Calculation and result dump (1)	8.22499000 sec
TIME:1350601082.85200500:	Transmitter data send (1)	0.00000400 sec
TIME:1350601083.12547898:	Calculation and result dump (2)	8.21825700 sec
TIME:1350601083.12549210:	Transmitter data send (2)	0.00000400 sec
TIME:1350601083.18882704:	Calculation and result dump (5)	8.24305100 sec
